topo_type,num_nodes,packet_loss_prob,protocol,num_runs,mean_success_rate,std_success_rate,mean_avg_hops,mean_avg_link_fidelity,mean_avg_decoherence_factor,mean_avg_e2e_fidelity,std_avg_e2e_fidelity,mean_min_e2e_fidelity,mean_max_e2e_fidelity,mean_avg_total_delay_ms,mean_recovery_used
RandomGeometric,12,0.050000,QCAST,30,60.555556,24.449233,2.050471,0.843490,0.715134,0.628825,0.157580,0.218110,0.970381,62.219872,0.466667
RandomGeometric,12,0.100000,Dijkstra,30,54.666667,22.086559,1.937808,0.852223,0.744779,0.656401,0.151416,0.267854,0.969985,57.992363,0.000000
RandomGeometric,12,0.100000,QCAST,30,56.777778,22.835130,1.999193,0.847222,0.726872,0.638737,0.148662,0.224728,0.969985,60.240509,0.566667
RandomGeometric,12,0.150000,Dijkstra,30,50.333333,22.782496,1.910048,0.852878,0.753589,0.664076,0.158057,0.298556,0.966917,56.582540,0.000000
RandomGeometric,12,0.150000,QCAST,30,53.666667,23.281552,1.989980,0.842557,0.729759,0.636948,0.151329,0.234584,0.966917,59.767870,0.866667
RandomGeometric,12,0.200000,Dijkstra,30,47.000000,21.376931,1.898162,0.852232,0.756133,0.665634,0.160707,0.312288,0.965159,56.381711,0.000000
RandomGeometric,12,0.200000,QCAST,30,50.555556,21.973222,1.990436,0.840156,0.729089,0.635560,0.153304,0.247849,0.965159,59.823679,1.000000
RandomGeometric,12,0.250000,Dijkstra,30,40.333333,19.891468,1.788214,0.861399,0.788393,0.698586,0.161498,0.369387,0.963875,52.137902,0.000000
RandomGeometric,12,0.250000,QCAST,30,44.444444,20.776743,1.919119,0.841165,0.752702,0.658001,0.156890,0.275435,0.963875,56.439446,1.233333
RandomGeometric,12,0.300000,Dijkstra,30,35.333333,19.838428,1.704056,0.867632,0.808538,0.719290,0.162737,0.409989,0.961091,49.965160,0.000000
RandomGeometric,12,0.300000,QCAST,30,39.222222,20.838428,1.842947,0.854259,0.770750,0.680671,0.163458,0.334780,0.961091,54.585898,1.100000
RandomGeometric,20,0.000000,Dijkstra,30,46.777778,25.408288,2.349765,0.834965,0.680840,0.601188,0.200046,0.237471,0.940995,66.312974,0.000000
RandomGeometric,20,0.000000,QCAST,30,46.777778,25.408288,2.364161,0.829327,0.676550,0.595551,0.200125,0.221743,0.940995,67.195735,0.000000
RandomGeometric,20,0.050000,Dijkstra,30,40.555556,23.765833,2.200931,0.846702,0.707634,0.625364,0.183659,0.262881,0.939981,62.044740,0.000000
RandomGeometric,20,0.050000,QCAST,30,42.000000,24.094323,2.266862,0.821247,0.692801,0.606049,0.198346,0.227433,0.939981,63.652305,0.533333
RandomGeometric,20,0.100000,Dijkstra,30,34.888889,21.276025,2.126051,0.848670,0.729671,0.645462,0.187071,0.308259,0.939220,59.546293,0.000000
RandomGeometric,20,0.100000,QCAST,30,39.333333,23.963574,2.301426,0.798493,0.692311,0.595705,0.201103,0.222958,0.939220,63.653160,1.533333
RandomGeometric,20,0.150000,Dijkstra,30,29.555556,19.529589,1.961940,0.859771,0.767311,0.680984,0.168775,0.373430,0.935820,53.893934,0.000000
RandomGeometric,20,0.150000,QCAST,30,35.222222,22.821703,2.259599,0.805575,0.699580,0.607775,0.208627,0.250329,0.935820,61.902057,1.866667
RandomGeometric,20,0.200000,Dijkstra,30,23.888889,15.710097,1.807242,0.864016,0.798520,0.705904,0.133830,0.425809,0.921956,49.487999,0.000000
RandomGeometric,20,0.200000,QCAST,30,28.333333,18.168011,2.069964,0.818773,0.733580,0.634152,0.185514,0.284693,0.921956,56.176781,1.366667
RandomGeometric,20,0.250000,Dijkstra,30,21.111111,14.915685,1.714690,0.869485,0.815629,0.722145,0.123966,0.457845,0.921939,47.596824,0.000000
RandomGeometric,20,0.250000,QCAST,30,25.222222,17.975789,1.957279,0.837198,0.749529,0.653010,0.171950,0.320924,0.921939,54.529899,1.233333
RandomGeometric,20,0.300000,Dijkstra,30,19.000000,13.927838,1.552381,0.846748,0.846127,0.723010,0.185933,0.510471,0.898920,43.876393,0.000000
RandomGeometric,20,0.300000,QCAST,30,22.444444,17.462238,1.790718,0.822259,0.781556,0.659751,0.197879,0.388435,0.898920,50.835745,1.033333
RandomGeometric,30,0.000000,Dijkstra,30,51.222222,23.300195,3.065746,0.794224,0.553908,0.479531,0.165997,0.107442,0.942708,86.859939,0.000000
RandomGeometric,30,0.000000,QCAST,30,50.888889,22.724964,3.130200,0.777276,0.541418,0.465410,0.164656,0.087416,0.942708,90.693594,0.000000
RandomGeometric,30,0.050000,Dijkstra,30,41.444444,17.890329,2.798721,0.809751,0.594700,0.516357,0.152087,0.120535,0.934704,79.673383,0.000000
RandomGeometric,30,0.050000,QCAST,30,44.666667,19.838428,2.975200,0.776300,0.567367,0.484335,0.156360,0.090754,0.934704,85.319669,1.133333
RandomGeometric,30,0.100000,Dijkstra,30,38.666667,16.783499,2.762237,0.811227,0.601150,0.522218,0.155480,0.126834,0.934092,78.120673,0.000000
RandomGeometric,30,0.100000,QCAST,30,43.222222,18.886297,2.970863,0.766544,0.566204,0.479831,0.154247,0.084986,0.934092,84.157462,1.866667
RandomGeometric,30,0.150000,Dijkstra,30,31.222222,14.073788,2.537629,0.825827,0.648741,0.567104,0.167926,0.181059,0.918659,70.085644,0.000000
RandomGeometric,30,0.150000,QCAST,30,37.555556,17.484165,2.779698,0.775143,0.599729,0.509632,0.157824,0.106257,0.927852,76.783124,2.300000
RandomGeometric,30,0.200000,Dijkstra,30,28.111111,13.636871,2.378672,0.835629,0.681780,0.598445,0.167684,0.214719,0.918659,65.328819,0.000000
RandomGeometric,30,0.200000,QCAST,30,34.666667,16.344003,2.657373,0.776831,0.621536,0.530292,0.156105,0.124346,0.927852,72.637274,2.333333
RandomGeometric,30,0.250000,Dijkstra,30,22.111111,10.666786,2.044960,0.826014,0.751062,0.634157,0.184201,0.320876,0.897274,55.443085,0.000000
RandomGeometric,30,0.250000,QCAST,30,28.666667,14.452989,2.447621,0.788409,0.671138,0.573902,0.168766,0.193377,0.913829,65.513849,2.166667
RandomGeometric,30,0.300000,Dijkstra,30,18.666667,9.330049,1.872593,0.835768,0.783338,0.667151,0.183400,0.377255,0.895978,52.053007,0.000000
RandomGeometric,30,0.300000,QCAST,30,25.333333,12.274011,2.365101,0.782382,0.681434,0.577229,0.169888,0.173157,0.912533,64.369368,2.200000
ScaleFree,8,0.000000,Dijkstra,30,100.000000,0.000000,1.596667,0.892482,0.854328,0.766846,0.036603,0.406881,0.983151,43.617206,0.000000
ScaleFree,8,0.000000,QCAST,30,100.000000,0.000000,1.616667,0.884889,0.849881,0.757743,0.040819,0.389512,0.983151,44.242150,0.000000
ScaleFree,8,0.050000,Dijkstra,30,92.444444,10.428863,1.581845,0.893788,0.858504,0.771563,0.037689,0.421276,0.983092,43.046671,0.000000
ScaleFree,8,0.050000,QCAST,30,97.333333,4.746445,1.658684,0.880843,0.839789,0.746579,0.041432,0.335898,0.983092,44.759508,1.566667
ScaleFree,8,0.100000,Dijkstra,30,86.444444,16.445273,1.551242,0.895204,0.865567,0.779255,0.045425,0.442401,0.982033,42.338096,0.000000
ScaleFree,8,0.100000,QCAST,30,93.777778,10.994019,1.658522,0.881399,0.839290,0.746775,0.048392,0.358825,0.982033,44.920542,2.033333
ScaleFree,8,0.150000,Dijkstra,30,78.888889,17.049249,1.538348,0.896640,0.868318,0.783085,0.050194,0.450037,0.982033,42.126334,0.000000
ScaleFree,8,0.150000,QCAST,30,89.777778,11.676788,1.703325,0.879538,0.827622,0.735895,0.054722,0.327222,0.982033,46.178621,3.566667
ScaleFree,8,0.200000,Dijkstra,30,71.888889,17.522472,1.493063,0.900000,0.882831,0.798373,0.051278,0.497775,0.980165,40.364892,0.000000
ScaleFree,8,0.200000,QCAST,30,85.777778,14.724373,1.695795,0.879177,0.832132,0.739361,0.061303,0.331054,0.980165,45.385354,4.466667
ScaleFree,8,0.250000,Dijkstra,30,64.111111,18.890354,1.484595,0.900213,0.883866,0.799600,0.054899,0.500153,0.978629,40.566204,0.000000
ScaleFree,8,0.250000,QCAST,30,78.111111,17.933110,1.692666,0.872920,0.831180,0.733759,0.064282,0.333674,0.978629,45.986588,4.600000
ScaleFree,8,0.300000,Dijkstra,30,57.222222,19.418428,1.447250,0.902635,0.891947,0.808931,0.060172,0.513737,0.977081,39.500703,0.000000
ScaleFree,8,0.300000,QCAST,30,69.888889,20.742599,1.638689,0.881639,0.841695,0.749933,0.069789,0.359603,0.977081,45.042182,3.966667
ScaleFree,12,0.000000,Dijkstra,30,100.000000,0.000000,1.833333,0.872795,0.782333,0.688699,0.042723,0.288225,0.974049,53.801218,0.000000
ScaleFree,12,0.000000,QCAST,30,100.000000,0.000000,1.874444,0.860882,0.770416,0.672507,0.049829,0.247822,0.974049,54.851245,0.000000
ScaleFree,12,0.050000,Dijkstra,30,90.111111,10.558479,1.818244,0.874269,0.786756,0.693742,0.045679,0.295553,0.973776,53.441973,0.000000
ScaleFree,12,0.050000,QCAST,30,96.555556,5.430391,1.923731,0.853866,0.761450,0.660886,0.053049,0.202478,0.973776,55.289514,2.300000
ScaleFree,12,0.100000,Dijkstra,30,83.888889,13.507011,1.806848,0.874552,0.790115,0.696740,0.046025,0.310803,0.972288,52.904714,0.000000
ScaleFree,12,0.100000,QCAST,30,93.666667,9.111905,1.949409,0.849221,0.756488,0.653476,0.054226,0.164186,0.972288,55.544471,3.033333
ScaleFree,12,0.150000,Dijkstra,30,75.777778,13.587614,1.771386,0.876444,0.802000,0.708623,0.051954,0.340476,0.972172,51.798102,0.000000
ScaleFree,12,0.150000,QCAST,30,90.000000,9.589266,1.978417,0.842784,0.746707,0.642791,0.051510,0.105147,0.972172,56.750872,4.466667
ScaleFree,12,0.200000,Dijkstra,30,69.333333,14.044265,1.744807,0.877032,0.810018,0.715995,0.053783,0.353126,0.970605,51.206981,0.000000
ScaleFree,12,0.200000,QCAST,30,84.444444,11.491571,1.983100,0.835391,0.746910,0.639085,0.060262,0.107537,0.970605,56.792524,4.866667
ScaleFree,12,0.250000,Dijkstra,30,62.333333,16.286468,1.722824,0.881530,0.817102,0.725978,0.059295,0.366948,0.969971,50.209673,0.000000
ScaleFree,12,0.250000,QCAST,30,76.333333,14.735211,1.954643,0.843214,0.755282,0.651106,0.065533,0.162341,0.969971,55.794135,4.666667
ScaleFree,12,0.300000,Dijkstra,30,55.000000,17.870329,1.665895,0.886471,0.832070,0.742851,0.064066,0.400925,0.968376,48.856916,0.000000
ScaleFree,12,0.300000,QCAST,30,69.555556,17.435889,1.931807,0.841658,0.759713,0.654506,0.070186,0.153325,0.968376,55.905182,4.600000
ScaleFree,20,0.000000,Dijkstra,30,100.000000,0.000000,2.120000,0.859543,0.706065,0.615787,0.046688,0.182408,0.975028,60.130640,0.000000
ScaleFree,20,0.000000,QCAST,30,100.000000,0.000000,2.166667,0.846607,0.692818,0.599159,0.046030,0.134950,0.975028,61.919910,0.000000
ScaleFree,20,0.050000,Dijkstra,30,89.666667,9.360797,2.089272,0.860724,0.716991,0.625741,0.045369,0.195337,0.972920,59.013805,0.000000
ScaleFree,20,0.050000,QCAST,30,98.222222,2.586931,2.241381,0.834825,0.676548,0.580988,0.050694,0.093057,0.972920,63.328947,2.666667
ScaleFree,20,0.100000,Dijkstra,30,82.444444,11.968456,2.071260,0.861691,0.725032,0.633449,0.043607,0.211480,0.972799,58.184423,0.000000
ScaleFree,20,0.100000,QCAST,30,95.555556,4.900022,2.261437,0.824654,0.673138,0.572133,0.053046,0.067300,0.972799,63.423455,4.066667
ScaleFree,20,0.150000,Dijkstra,30,70.666667,16.847297,2.013873,0.862635,0.743098,0.649783,0.055168,0.226758,0.971663,55.926091,0.000000
ScaleFree,20,0.150000,QCAST,30,87.888889,10.449049,2.285392,0.818371,0.672711,0.567629,0.050811,0.062959,0.971663,62.156427,5.366667
ScaleFree,20,0.200000,Dijkstra,30,64.000000,18.349523,1.997122,0.862319,0.749083,0.654295,0.060857,0.247289,0.962298,55.419798,0.000000
ScaleFree,20,0.200000,QCAST,30,81.555556,13.152024,2.297550,0.818442,0.667270,0.562725,0.053550,0.073992,0.962298,62.974827,5.500000
ScaleFree,20,0.250000,Dijkstra,30,56.444444,19.296702,1.965583,0.864617,0.759725,0.664924,0.064176,0.264498,0.956158,54.236523,0.000000
ScaleFree,20,0.250000,QCAST,30,74.222222,16.745408,2.283036,0.809274,0.676724,0.565187,0.079709,0.088631,0.956158,61.362432,5.600000
ScaleFree,20,0.300000,Dijkstra,30,49.666667,21.215010,1.927545,0.866145,0.766137,0.670878,0.060723,0.287272,0.950099,53.492017,0.000000
ScaleFree,20,0.300000,QCAST,30,66.777778,19.913286,2.254088,0.808295,0.679374,0.566915,0.073466,0.089052,0.950099,61.385608,5.366667
ScaleFree,30,0.000000,Dijkstra,30,100.000000,0.000000,2.341111,0.841336,0.648905,0.555373,0.048011,0.163643,0.958608,65.358577,0.000000
ScaleFree,30,0.000000,QCAST,30,100.000000,0.000000,2.406667,0.824206,0.633982,0.535723,0.052343,0.126027,0.958608,67.002382,0.000000
ScaleFree,30,0.050000,Dijkstra,30,89.777778,7.424374,2.299668,0.843494,0.661546,0.567560,0.054665,0.185710,0.958040,64.036038,0.000000
ScaleFree,30,0.050000,QCAST,30,98.555556,2.086874,2.472573,0.809930,0.618674,0.518741,0.053828,0.069327,0.958040,68.081698,3.033333
